Departure City,Arrival City,Date Leave,Date Return,Departure Time,Arrival Time,Company,Price,Scraping Date
HCM,HAN,05/02/2024,18/02/2024,05:55,08:05,Bamboo Airways,"12,870,500",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,07:20,09:30,Bamboo Airways,"12,870,500",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,10:40,00:50,Bamboo Airways,"12,870,500",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,00:50,15:00,Bamboo Airways,"12,870,500",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,18:35,20:45,Bamboo Airways,"12,870,500",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,07:00,09:20,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,08:00,10:10,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,09:00,11:20,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,10:00,00:10,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,11:00,13:15,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,00:00,14:10,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,05/02/2024,18/02/2024,17:10,19:20,Bamboo Airways,N/A,27/12/2023
HCM,HAN,05/02/2024,18/02/2024,20:40,22:50,Bamboo Airways,N/A,27/12/2023
HCM,HAN,06/02/2024,16/02/2024,12:20,02:30,Vietravel Airlines,"5,864,640",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,22:50,01:00,VietJet Air,"6,007,200",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,14:50,16:55,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,12:05,02:15,Vietravel Airlines,"6,134,640",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,01:00,03:15,Vietravel Airlines,"6,134,640",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,17:45,19:55,Vietravel Airlines,"6,134,640",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,12:10,02:20,VietJet Air,"6,180,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,04:30,06:40,VietJet Air,"6,180,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,05:15,07:25,VietJet Air,"6,180,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,06:00,08:10,VietJet Air,"6,180,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,07:00,09:10,VietJet Air,"6,180,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,16:30,18:40,VietJet Air,"6,180,000",27/12/2023
